page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  28   265 image     850   618  rgb     3   8  jpeg   no      1843  0   120   120 72.0K 4.7%
  29   266 image     557   196  rgb     3   8  jpeg   no      1858  0    72    72 4715B 1.4%
  29   267 mask      557   196  -       1   1  image  no      1858  0    72    72   79B 0.6%
  29   268 image     535   183  rgb     3   8  jpeg   no      1862  0    72    72 4338B 1.5%
  29   269 smask     535   183  gray    1   8  image  no      1862  0    72    72  522B 0.5%
  29   270 image     557   478  rgb     3   8  jpeg   no      1866  0    72    72 9673B 1.2%
  29   271 mask      557   478  -       1   1  image  no      1866  0    72    72  145B 0.4%
  29   272 image     535   233  rgb     3   8  jpeg   no      1870  0    72    72 5420B 1.4%
  29   273 smask     535   233  gray    1   8  image  no      1870  0    72    72  664B 0.5%
  29   274 image     557   110  rgb     3   8  jpeg   no      1874  0    72    72 3390B 1.8%
  29   275 mask      557   110  -       1   1  image  no      1874  0    72    72   55B 0.7%
  30   276 image     557   353  rgb     3   8  jpeg   no      1887  0    72    72 6842B 1.2%
  30   277 mask      557   353  -       1   1  image  no      1887  0    72    72  116B 0.5%
  30   278 image     535   198  rgb     3   8  jpeg   no      1891  0    72    72 4640B 1.5%
  30   279 smask     535   198  gray    1   8  image  no      1891  0    72    72  585B 0.6%
  30   280 image     557   339  rgb     3   8  jpeg   no      1895  0    72    72 7857B 1.4%
  30   281 mask      557   339  -       1   1  image  no      1895  0    72    72  112B 0.5%
  30   282 image     535   113  rgb     3   8  jpeg   no      1899  0    72    72 3940B 2.2%
  30   283 smask     535   113  gray    1   8  image  no      1899  0    72    72  394B 0.7%
  30   284 image     557    92  rgb     3   8  jpeg   no      1903  0    72    72 3178B 2.1%
  30   285 mask      557    92  -       1   1  image  no      1903  0    72    72   52B 0.8%
  31   286 image     557   269  rgb     3   8  jpeg   no      1914  0    72    72 5705B 1.3%
  31   287 mask      557   269  -       1   1  image  no      1914  0    72    72   96B 0.5%
  31   288 image     535   128  rgb     3   8  jpeg   no      1918  0    72    72 4106B 2.0%
  31   289 smask     535   128  gray    1   8  image  no      1918  0    72    72  427B 0.6%
  31   290 image     557   525  rgb     3   8  jpeg   no      1922  0    72    72 8928B 1.0%
  31   291 mask      557   525  -       1   1  image  no      1922  0    72    72  153B 0.4%
  31   292 image     535   150  rgb     3   8  jpeg   no      1926  0    72    72 2903B 1.2%
  31   293 smask     535   150  gray    1   8  image  no      1926  0    72    72  429B 0.5%
  31   294 image     689   229  rgb     3   8  jpeg   no      1930  0    93    93 35.9K 7.8%
  32   295 image     557   732  rgb     3   8  jpeg   no      1939  0    72    72 11.7K 1.0%
  32   296 mask      557   732  -       1   1  image  no      1939  0    72    72  205B 0.4%
  32   297 image     535   719  rgb     3   8  jpeg   no      1943  0    72    72 10.6K 0.9%
  32   298 smask     535   719  gray    1   8  image  no      1943  0    72    72 1716B 0.4%
  32   299 image     557    62  rgb     3   8  jpeg   no      1947  0    72    72 2752B 2.7%
  32   300 mask      557    62  -       1   1  image  no      1947  0    72    72   44B 1.0%
  32   301 image     689   229  rgb     3   8  jpeg   no      1951  0    97    97 38.4K 8.3%
  32   302 image       9     6  rgb     3   8  jpeg   no      1953  0    72    72  691B 427%
  32   303 image     623   390  rgb     3   8  jpeg   no      1955  0    88    88 49.9K 7.0%
  33   304 image     557   804  rgb     3   8  jpeg   no      1964  0    72    72 11.2K 0.9%
  33   305 mask      557   804  -       1   1  image  no      1964  0    72    72  221B 0.4%
  33   306 image     535   403  rgb     3   8  jpeg   no      1968  0    72    72 5993B 0.9%
  33   307 smask     535   403  gray    1   8  image  no      1968  0    72    72  998B 0.5%
  33   308 image     623    98  rgb     3   8  jpeg   no      1972  0    84    84 30.4K  17%
  33   309 image     725   286  rgb     3   8  jpeg   no      1974  0    98    98 46.9K 7.7%
  33   310 image     798   332  rgb     3   8  jpeg   no      1976  0   112   112 55.2K 7.1%
  34   311 image     557   642  rgb     3   8  jpeg   no      1983  0    72    72 10.3K 1.0%
  34   312 mask      557   642  -       1   1  image  no      1983  0    72    72  185B 0.4%
  34   313 image     535   629  rgb     3   8  jpeg   no      1987  0    72    72 9894B 1.0%
  34   314 smask     535   629  gray    1   8  image  no      1987  0    72    72 1513B 0.4%
  34   315 image     557   152  rgb     3   8  jpeg   no      1991  0    72    72 3994B 1.6%
  34   316 mask      557   152  -       1   1  image  no      1991  0    72    72   66B 0.6%
  34   317 image     623   390  rgb     3   8  jpeg   no      1995  0    88    88 49.9K 7.0%
  35   318 image     557   804  rgb     3   8  jpeg   no      2003  0    72    72 11.2K 0.9%
  35   319 mask      557   804  -       1   1  image  no      2003  0    72    72  221B 0.4%
  35   320 image     535   532  rgb     3   8  jpeg   no      2007  0    72    72 7538B 0.9%
  35   321 smask     535   532  gray    1   8  image  no      2007  0    72    72 1288B 0.5%
  35   322 image     787   384  rgb     3   8  jpeg   no      2011  0   106   106 59.9K 6.8%
  35   323 image     787   384  rgb     3   8  jpeg   no      2013  0   111   111 78.9K 8.9%
  35   324 image     624   121  rgb     3   8  jpeg   no      2015  0    88    88 12.4K 5.6%
  36   325 image     557    38  rgb     3   8  jpeg   no      2023  0    72    72 2478B 3.9%
  36   326 mask      557    38  -       1   1  image  no      2023  0    72    72   41B 1.6%
  36   327 image     535    25  rgb     3   8  jpeg   no      2027  0    72    72 2545B 6.3%
  36   328 smask     535    25  gray    1   8  image  no      2027  0    72    72  151B 1.1%
